iter	Logloss
0	0.6552044392
1	0.6255473614
2	0.6062415123
3	0.5861426353
4	0.570422411
5	0.5526338577
6	0.5420307159
7	0.5287342072
8	0.5160064697
9	0.5036211491
10	0.4913514614
11	0.4809329987
12	0.4730064869
13	0.4605231285
14	0.4548696041
15	0.4461128235
16	0.4410077572
17	0.4316385746
18	0.4267719269
19	0.4190928459
20	0.4125329494
21	0.4068555832
22	0.3978387356
23	0.3917998075
24	0.3843474627
25	0.378760767
26	0.3745236635
27	0.3659692764
28	0.3597702503
29	0.353915
30	0.3483175278
31	0.3445912123
32	0.3380624771
33	0.333246851
34	0.326759696
35	0.3228808641
36	0.3184627533
37	0.3131715298
38	0.3096823215
39	0.3069197416
40	0.3021122217
41	0.2990179777
42	0.2966953278
43	0.2946356773
44	0.2903210163
45	0.2846365452
46	0.280723238
47	0.2774068117
48	0.273733592
49	0.2706727982
50	0.268307209
51	0.2637101173
52	0.260136199
53	0.2563285828
54	0.2531618118
55	0.2483964443
56	0.2458420992
57	0.2431856632
58	0.2400182247
59	0.2352872849
60	0.232950902
61	0.230053997
62	0.2269473076
63	0.2240506649
64	0.2208928823
65	0.2185243845
66	0.2135842562
67	0.2096124172
68	0.2054463148
69	0.2024424076
70	0.1995839119
71	0.1977676153
72	0.1953727365
73	0.1923962712
74	0.1912535429
75	0.1874780774
76	0.1846123457
77	0.1820586562
78	0.1804054737
79	0.1770938396
80	0.1734996319
81	0.1708522797
82	0.1685246229
83	0.16510849
84	0.1628045678
85	0.1609588623
86	0.1576219082
87	0.1542006731
88	0.1533603668
89	0.1512122512
90	0.1499825716
91	0.1470155716
92	0.1441451073
93	0.1419412017
94	0.1395045519
95	0.1370311975
96	0.135515964
97	0.1333397508
98	0.1310081244
99	0.1292993307
